login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
vfarcic,vfarcic/angular-web-ui-sample,2014-10-01T18:10:53Z,0,0,JavaScript,True,True,
vfarcic,vfarcic/ansible-blue-green,2015-01-11T11:54:39Z,3,3,Python,True,True,
vfarcic,vfarcic/ansible-workshop,2015-11-01T16:21:21Z,3,3,CSS,True,True,
vfarcic,vfarcic/apono-demo,2023-08-21T23:33:35Z,0,0,,True,True,
vfarcic,vfarcic/argo,2021-02-04T15:16:55Z,1,1,Go,True,True,Apache License 2.0
vfarcic,vfarcic/argo-cd,2021-10-25T15:24:55Z,1,1,Go,True,True,Apache License 2.0
vfarcic,vfarcic/argo-cd-image-updater,2021-10-12T19:50:09Z,5,5,SCSS,True,True,
vfarcic,vfarcic/argo-combined-app,2021-02-02T08:52:24Z,37,37,SCSS,True,True,Apache License 2.0
vfarcic,vfarcic/argo-combined-demo,2021-01-25T19:46:56Z,103,103,,True,True,Apache License 2.0
vfarcic,vfarcic/argo-events,2021-01-28T15:15:53Z,1,1,Go,True,True,Apache License 2.0
vfarcic,vfarcic/argo-events-demo,2021-01-20T19:23:01Z,2,2,,True,True,
vfarcic,vfarcic/argo-events-gh-demo,2024-06-04T21:48:12Z,2,2,Go,True,True,
vfarcic,vfarcic/argo-rollouts,2020-11-03T11:34:51Z,2,2,Go,True,False,Apache License 2.0
vfarcic,vfarcic/argo-rollouts-demo,2024-04-21T02:08:13Z,0,0,Nushell,True,True,
vfarcic,vfarcic/argo-site,2021-10-19T20:57:43Z,0,0,JavaScript,True,True,MIT License
vfarcic,vfarcic/argo-workflows-catalog,2021-01-04T12:18:58Z,1,1,Go,True,False,
vfarcic,vfarcic/argo-workflows-demo,2020-12-29T03:03:21Z,25,25,SCSS,True,True,
vfarcic,vfarcic/argo-workflows-vs-tekton-demo,2021-05-24T16:55:45Z,5,5,SCSS,True,True,
vfarcic,vfarcic/argocd-image-updater-demo,2021-03-30T10:42:23Z,1,1,,True,True,
vfarcic,vfarcic/argocd-pipeline,2020-10-07T17:57:57Z,0,0,Dockerfile,True,True,
vfarcic,vfarcic/argocd-previews,2020-10-05T14:29:34Z,19,19,,True,True,
vfarcic,vfarcic/argocd-production,2020-09-23T14:32:08Z,33,33,,True,True,
vfarcic,vfarcic/argocd-staging,2020-11-03T14:08:16Z,1,1,,True,True,
vfarcic,vfarcic/argocd-sync-waves-demo,2023-07-22T00:04:25Z,1,1,,True,True,
vfarcic,vfarcic/atlas-demo,2022-11-23T17:27:28Z,0,0,HCL,True,True,
vfarcic,vfarcic/atlas-kubernetes-demo,2023-07-07T23:41:48Z,0,0,,True,True,
spite,spite/3dwebfest-2016,2016-10-10T19:26:06Z,9,9,JavaScript,True,True,MIT License
spite,spite/AdventOfCode2019,2019-12-04T18:46:27Z,2,2,JavaScript,True,True,
spite,spite/adventofcode2021,2021-12-02T23:04:54Z,3,3,JavaScript,True,True,MIT License
spite,spite/adventofcode2023,2023-12-01T14:28:27Z,2,2,JavaScript,True,True,
spite,spite/ae-to-json-to-timeline-to-camera,2016-09-04T19:46:35Z,0,0,JavaScript,True,True,
spite,spite/android-lens-blur-depth-extractor,2014-04-17T18:53:47Z,292,292,JavaScript,True,True,MIT License
spite,spite/audio-cover,2021-04-07T21:41:42Z,4,4,JavaScript,True,True,MIT License
spite,spite/AugmentedCompileShader.js,2015-02-22T17:43:47Z,24,24,JavaScript,True,True,MIT License
spite,spite/barcelonajs.org,2013-02-18T10:50:12Z,0,0,JavaScript,True,True,
spite,spite/baubles,2020-12-09T18:16:27Z,24,24,JavaScript,True,True,MIT License
spite,spite/BlockyEarth,2022-03-06T01:47:44Z,7,7,JavaScript,True,True,
spite,spite/bumpy-metaballs,2022-03-28T23:16:13Z,6,6,JavaScript,True,True,MIT License
spite,spite/canvas-capture,2017-03-08T20:38:32Z,3,3,JavaScript,True,True,
spite,spite/ccapture.js,2012-09-03T11:00:40Z,3601,3601,JavaScript,True,True,MIT License
spite,spite/chrome-sketchtab,2016-01-12T17:05:12Z,21,21,JavaScript,True,True,MIT License
spite,spite/clickbait-stopper,2016-08-20T17:11:55Z,1,1,JavaScript,True,True,
spite,spite/codevember-2016,2016-11-12T00:36:04Z,91,91,JavaScript,True,True,Other
spite,spite/codevember-2017,2017-11-01T20:04:37Z,139,139,JavaScript,True,True,
spite,spite/codevember-2021,2021-11-01T23:05:30Z,212,212,JavaScript,True,True,Other
spite,spite/codevember-2022,2022-11-03T01:07:31Z,83,83,JavaScript,True,True,MIT License
spite,spite/ConcatSoundLoader,2013-09-18T09:54:22Z,35,35,HTML,True,True,
spite,spite/coverage-ext,2016-09-16T17:02:42Z,0,0,JavaScript,True,True,
spite,spite/crash-devtools,2017-02-17T01:28:24Z,0,0,JavaScript,True,True,
spite,spite/cross-hatching,2016-12-07T01:20:34Z,110,110,HTML,True,True,
spite,spite/cruciform,2015-02-09T10:16:09Z,88,88,JavaScript,True,True,MIT License
spite,spite/css-filters-devtools-extension,2015-12-15T02:00:03Z,21,21,JavaScript,True,True,MIT License
spite,spite/css-triggers,2016-09-23T17:49:59Z,0,0,JavaScript,True,True,Apache License 2.0
spite,spite/CSS3DClouds,2012-04-20T23:44:00Z,131,131,HTML,True,True,MIT License
spite,spite/dancer.js,2013-02-01T23:07:04Z,3,3,JavaScript,True,True,MIT License
spite,spite/DefinitelyTyped,2018-02-07T11:51:36Z,1,1,TypeScript,True,True,Other
LeCoupa,LeCoupa/awesome-bootstrappers,2018-02-14T17:27:50Z,238,238,Shell,True,True,MIT License
LeCoupa,LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,40070,40070,JavaScript,True,True,MIT License
LeCoupa,LeCoupa/awesome-shopify,2019-09-17T15:29:55Z,108,108,Shell,True,True,MIT License
LeCoupa,LeCoupa/docs.adonisjs.com,2022-12-27T14:35:21Z,0,0,TypeScript,True,True,
LeCoupa,LeCoupa/japa.dev,2022-12-30T19:14:25Z,0,0,TypeScript,True,True,
LeCoupa,LeCoupa/LeCoupa,2020-08-26T17:59:10Z,9,9,,True,True,
LeCoupa,LeCoupa/nuxt-edgedb,2023-11-23T14:45:53Z,0,0,,True,True,
LeCoupa,LeCoupa/nuxt-seo-kit,2023-09-09T14:36:49Z,0,0,,True,False,
LeCoupa,LeCoupa/recaptcha-module,2022-09-06T09:30:06Z,1,1,,True,False,MIT License
LeCoupa,LeCoupa/vscode-commit-prompt,2024-01-09T12:49:26Z,2,2,,True,True,MIT License
LeCoupa,LeCoupa/vuedarkmode,2018-09-23T21:35:51Z,1091,1091,Vue,True,True,MIT License
LeCoupa,LeCoupa/vueflags,2019-12-07T15:02:15Z,119,119,TypeScript,True,True,MIT License
LeCoupa,LeCoupa/vuesocial,2019-11-22T18:35:18Z,56,56,SCSS,True,True,MIT License
LeCoupa,LeCoupa/vuetimeline,2019-11-06T16:55:45Z,348,348,SCSS,True,True,MIT License
LeCoupa,LeCoupa/vueuse,2023-06-16T19:56:27Z,1,1,,True,False,MIT License
peduarte,peduarte/247handyman,2016-06-23T19:49:50Z,2,2,SCSS,True,True,
peduarte,peduarte/alephjs.org,2020-11-06T14:32:01Z,1,1,,True,False,MIT License
peduarte,peduarte/atom,2020-09-21T13:54:45Z,1,1,,True,False,MIT License
peduarte,peduarte/ava,2018-01-24T15:13:42Z,0,0,JavaScript,True,False,MIT License
peduarte,peduarte/awesome-developer-experience,2021-07-22T19:11:05Z,15,15,,True,False,
peduarte,peduarte/babel,2016-11-10T15:01:12Z,0,0,JavaScript,True,True,MIT License
peduarte,peduarte/better-code-blocks,2021-05-24T15:20:18Z,5,5,JavaScript,True,True,
